"पसुवइणो रोसारुणपडिमासंकंतगोरिमुहअंदम्,गहिअग्घपंकअं मिअ संझासलिलंजलिं णमह"
"थोअं पि ण णीइ इमा मज्झण्हे उअ सरीरतललुक्का,आअवभएण छाही वि ता पहिअ किं ण वीसमसी"
"सुहउच्छअं जणं दुल्लहं पि दूराहि अम्ह आणेंत,उअआरअ जर जीअं पि णेंत ण कआवराहोसि"
"आम जरो मे मंदो अहव ण मंदो जणस्स का तत्ती,सुहउच्छअ सुहअ सुअंधगंध मा गंधिरिं छिवसु"
"सिहिपिच्छलुलिअकेसे वेवंतोरु विणिमीलिअद्धच्छी,दरपुरिसाइनि विसमिरि जाणसु पुरिसाण जं दुक्खं"
"पेम्मस्स विरोहिअसंधिअस्स पच्चक्खदिट्ठविलिअस्स,उअअस्स व ताविअसीअलस्स विरसो रसो होइ"
"वज्जवडनाइरिक्कं पइणो सोऊण सिंजिणीघोसं,पुसिआइ करिमरीए सरिवंदीणं पि अच्छीइं"
"करिमरि अआलगज्जिरजलआसणिवडणपडिरवो एसो,पइणो धणुरव कंखिरि रोमंचं किं मुहा वहसि"
"सहइ सहइ त्ति तेण तहा रमिआ सुरअदुव्विअड्डेण,पव्वाअसिरीसाइ व जह से जाआइ अंगाइं"
"अज्जं चेअ पउत्थो उज्जागरओ जणस्स अज्जेअ,अज्जेअ हलिद्दापिंजराइ गोलाइ तूहाइं"
"असरिसचित्ते दिअरे सुद्धमणा पिअअमे विसमसीले,ण कहइ कुडुंवविहडणभएण तणुआअए सोण्हा"
"चिंताणिअदइअसमागमम्मि कअमण्णुआइ भरिऊण,सुण्णं कलहा अंती सहीहि रुण्णा ण ओहसिआ"
"हिअअण्णुएहि समअं असमत्ताइं पि जह सुहावेंति,कज्जाइ मणे ण तहा इअरेहि समाणिआइं पि"
"दरफुडिअसिप्पिसंपुडणिलुक्कहालाहलग्गछेप्पणिहं,पिक्कंवट्ठिविणिग्गअकोमलम् अंवंकुरं उअह"
"उअह पडलंतरोइण्णणिअअतंतुद्धपाअपडिलग्गं,दुल्लक्खसुत्तगुत्थेक्कवउलकुसुमं व मक्कडअं"
"उअरिदरडिट्ठखण्णुअणिलुक्कपारावआण विरुएहिं,णित्थणइ जाअविअणं सूलाहिण्णं व देवउलं"
"जइ होसि ण तस्स पिआ अणुदिअहं णीसहेहि अंगेहिं,णवसूअपीअपेओसमत्तपाडि व्व किं सुअसि"
"हेमंतिआसु अइदीहरासु राईसु तं सि अविणिद्दा,चिरअरपउत्थवइए ण सुंदरं जं दिआ सुअसि"
"जइ चिक्खिल्लभउप्पुअपअम् इणम् अलसाइ तुह पए दिण्णं,ता सुहअ कंडइज्जंतम् अंगम् एण्हिं किणो वहसि"
"पत्तो छणो ण सोहइ अइप्पहाए व्व पुण्णिमाअंदो,अंतविरसो व्व कामो असंपआणो अ परिओसो"
"पाणिग्गहणे च्चिअ पव्वईअ णाअं सहीहि सोहग्गं,पसुवइणा वासुइकंकणम्मि ओसारिए दूरं"
"गिंहे दवग्गिमसिमइलिआइ दीसंति विंझसिहराइं,आससु पउत्थवइए ण होंति णवपाउसब्भाइं"
"जेत्तिअमेत्तं तीरइ णिव्वोढुं देसु तेत्तिअं पणअं,ण जणो विणिअत्तपसाअदुक्खसहणक्खमो सव्वो"
"वहुवल्लहस्स जा होइ वल्लहा कह वि पंच दिअहाइं,सा किं छट्ठं मग्गइ कत्तो मिट्ठं च वहुअं च"
"जं जं सो णिज्झाअइ अंगोआसं महं अणिमिसच्छो,पच्छाएमि अ तं तं इच्छामि अ तेण दीसंतं"
"दढमण्णुदूमिआइ वि गहिओ दइअम्मि पेछह इमीए,ओसरइ वालुआमुट्ठिओ व्व माणो सुरसुरंतो"
"उअ पोम्मराअमरगअसंवलिआ णहअलाउ ओअरइ,णहसिरिकंठब्भट्ठ व्व कंठिआ कीररिंछोली"
"ण वि तह विएसवासो दोग्गच्चं मह जणेइ संतावं,आसंसिअत्थविमुहो जह पणइअणो णिअत्तंतो"
"भरिमो से गहिआहरधुअसीसपहोलिरालआउलिअं,वअणं परिमलतरलिअभमरालिपइण्णकमलं व"
"हल्लफलण्हाणपसाहिआण छणवासरे सवत्तीण,अज्जाइ मज्जणाणाअरेण कहिअं व सोहग्गं"
"ण्हाणहलिद्दाभरिअंतराइ जालाइ जालवलअस्स,सोहंति किलिंचिअकंटएण कं काहिसि कअत्थं"
"अद्दंसणेण पेम्मं अवेइ अइदंसणेण वि अवेइ,पिसुणजणकंपिएण वि अवेइ एमेअ वि अवेइ"
"पोट्टपडिएहि दुक्खं अच्छिज्जइ उण्णएहि होऊण,इअ चिंतंताण मणे थणाण कसणं मुहं जाअं"
"सो तुज्झ कए सुंदरि तह झीणो सुमहिलो हलिअउत्तो,जह से मच्छरिणीअ वि दोच्चं जाआइ पडिवण्णं"
"दक्खिण्णेण वि एंतो सुहअ सुहावेसि अंह हिअआइं,णिक्कइअवेण जाणं गओ सि का णिव्वुई ताणं"
"एक्कं पहरुग्घाअं हत्थं मुहमारुएण वीअंतो,सो वि हसंतीअ मए गहिओ वीएण कंठम्मि"
"अवलंविअमाणपरंमुहीअ एंतस्स माणिनि पिअस्स,पुट्ठिपुलउग्गमो तुह कहेइ समुहट्ठिअं हिअअं"
"जानइ जाणावेउं अणुणअविद्दविअमाणपरिसेसं,पइरिक्कम्मि वि विणआवलंवणं स च्चिअ कुणंती"
"किं दाव कआ अहवा करेसि काहिसि अ सुहअ एत्ताहे,अवराहाण अलज्जिर साहसु कअरा खमिज्जंति"
"णूमंति जे पहुत्तं कुविअं दास व्व जे पसाअंति,ते च्चिअ महिलाण पिआ सेसा सामि च्चिअ वराआ"
"तइआ कअग्घ महुअर ण रमसि अण्णासु पुप्फजाईसु,वद्धफलभारगरुइं मालइम् एण्हिं परिच्चअसि"
"अविअण्हपेच्छणिज्जेण तक्खणं मामि तेण दिट्ठेण,सिविणअपीएण व पाणिएण तण्ह च्चिअ ण फिट्टा"
"सो णाम संभरिज्जइ पब्भसिओ जो खणं पि हिअआहि,संभरिअव्वं च कअं गअं च पेम्मं णिरालंवं"
"णासं व सा कवोलेअज्ज वितुह दंतमंडलं वाला,उब्भिण्णपुलअवइवेढपरिगअं रक्खइ वराई"
"दिट्ठा चूआ अग्घाइआ सुरा दक्खिणाणिलो सहिओ,कज्जाइं चिअ गरुआइ मामि को वल्लहो कस्स"
"रमिऊण पअं पि गओ जाहे उवऊहिउं पडिणिउत्तो,अहअं पउत्थवइअ व्व तक्खणं सो पवासि व्व"
"अविअण्हपेच्छणिज्जं समसुहदुक्खं विइण्णसब्भावं,अण्णोण्णहिअअलग्गं पुण्णेहि जणो जणं लहइ"
"दुक्खं देंतो वि सुहं जणेइ जो जस्स वल्लहो होइ,दइअणहदूमिआण वि वड्ढइ थणआण रोमंचो"
"धरिओ धरिओ विअलइ उवएसो पिअसहीहि दिज्जंतो,मअरद्धअवाणपहारजज्जरे तीअ हिअअम्मि"
"वहुपुप्फभरोणामिअभूमीगअसाह सुणसु विण्णत्तिं,गोलाअडविअडकुडंग महुअ सणिअं गलिज्जासु"
"णिप्पच्छिमाइ असई दुक्खालोआइ महुअपुप्फाइं,चीए वंधुस्स व अट्ठिआइ रुअरी समुच्चिणइ"
"ओ हिअअ मडहसरिआजलरअहीरंतदीहदारु व्व,ठाणे ठाणे च्चिअ लग्गमाण केणा ऽवि डज्झिहिसि"
"जो तीअ अहरराओ रत्तिं उव्वासिओ पिअअमेण,सो च्चिअ दीसइ गोसे सवत्तिणअणेसु संकंतो"
"गोलाअडट्ठिअं पेच्छिऊण गहवइसुअं हलिअसोण्हा,आढत्ता उत्तरिउं दुक्खुत्ताराइ पअवीए"
"चलणोआसणिसण्णस्स तस्स भरिमो अणालवंतस्स,पाअंगुट्ठावेढिअकेसदढाअड्ढणसुहेल्लिं"
"फालेइ अच्छभल्लं व उअह कुग्गामदेउलद्दारे,हेमंतआलपहिओ विज्झाअंतं पलालग्गिं"
"कमलाअरा ण मलिआ हंसा उड्डाविआ ण अ पिउच्छा,केण वि गामतडाए अब्भं उत्ताणिअं छूढं"
"केण मणे भग्गमणोरहेण संलाविअं पवासो त्ति,सविसाइ व अलसाअंति जेण वहुआइ अंगाइं"
"अज्ज वि वालो दामोअरो त्ति इअ जंपिए जसोआए,कण्हमुहपेसिअच्छं णिहुअं हसिअं वअवहूहिं"
"णच्चणसलाहणणिहेण पासपरिसंठिआ णिउणगोवी,सरिगोविआण चुंवइ कवोलपडिमागअं कण्हं"
