prakrit	english
मए मण्णे अरबीए आज़ाद होइ ।	My land [must be] Arab and free.
अम्हे भगवान् की रचना, देवा की संतानें ।	We are God’s creation, children of God.
फिलिपं सअण्हा भणिओ मं अपेक्खम् ।	And I had hoped that he would have called [Philip].
ते च्चेअ सच्चं भणामि ।	I swear by that creation.
अच्चं च्चिअ छणअ सामं अण्णो सामो	Very scary, suddenly Uncle Sam is offended
[पुट्ठियाँ 149-50] वह स्वयं करोड़पति बन गई ।	[Pages 149-50] She became a millionaire herself.
सर राबर्ट के साथ उनकी क्या समानता हो सकती है?	What could he have in common with Sir Robert?’
अम्हाणं सव्वं गअणुसुअराणं तुए जाणसे हवे!	Now you know much more about pigs, an animal that gives us everything!
और सो च्चिअ तेण वृक्खं जो लज्जिज्जइ, तं सस्स सदा जीविज्जइ	And He's the only Tree that can be taken, that you can live forever.
अम्हे वि तेण वि तह वड्ढंति जेण एत्ताहे पअवीएण दूतेण संवंधाओ	We should be putting forth even greater effort than was put forth by those who proclaimed the first angel's message so faithfully.
पीएम मोदी ने कहा, ""भाग लेने वाले 113 देशों का स्वागत करने के लिए हम सब कुछ करेंगे ।	We will do everything to welcome the 113 countries that will participate.
एत्थ धरित्रीए वि ते देवऽ छलाह, अहं मणुस्सयं ।	He was God even while here on earth; I am but a man.
तेण वहुआइ अम्हाणं ण एत्ताहे, ण मिस्सिसिएप्पिं एत्थे ।	Not the kind of guy we need here - not here in Mississippi.
#4 ""वरना हम भी युद्ध में जा सकते थे	#4 “or we could also go to war
#4 ""वरना हम भी युद्ध में जा सकते थे	#4 “or we could also go to war
जा 4आ 9आ ण होंति जाआ तुज्झ कुर्सिय जाआ विणा वड्ढमट्ठो	You probably will have 4 or 9, unless your chair is a very strange shape.
अण्णं करणस्स एकमेव माणो, सो प्रार्थना ।	Only one way to do it; that's prayer.
(i) जी. एस. 1क सङ्ग अपन करारक निष्पादनमे समर्थ होयबाक उद्देश्यसँ,	i) with the purpose of allowing us to be able to perform our agreement with GS1,
थैंक यू टू नोट आन्अरः टू क्रिसमस कार्ड्स!	Thank you not to answer: Two Christmas cards!
मरणो वि इए वि णअंतरं वि दरदरवाओ ।	It is also an incredibly painful way to die.
छात्रः पर गुरु, 22 आज्ञाओं के बारे में मैंने कभी नहीं सुना था?	Student: But Master, I had never heard of 22 commandments?
वाहस्स देव्व सि तीअ वाणी मिट्ठाइ, हिअअं जरा डिंहा फलइ ।	By God, his speech is sweet, his root is deep and his branches are fruitful.
थामहिनबा, ईश्वरीयपदार्थे ण अंधकारं वा मित्तं ।	In other words, God’s substance contains no darkness or evil.
जेण ""दांडी"" तेण सो च्चिअ रातिणं राजा होइ ।	Such as ""dandies"", they will soon be the kings of the night.
परंतं (कमलं तथा अन्यां सूत्राणं) हजारमेंएकहिं न रक्खिज्जइ ।	However, not one in a thousand can be saved [by the Lotus and other sutras].
इमेज् 59 - केक्कस्स महत्तं ण भुलो ।	Image 59 - Do not forget this important detail: the cake.
जे अठारामो णिअच्छं मोहिं दिट्ठो, तेण विच्छेदिअह विओओओ	The first eighteen people who saw me disconnected immediately.
लोए सच्चं पिट्ठं कुत्तो ।	The only faithful thing in the world is a dog.
उनका कोई स्मारक नहीं है ।	There is no monument to him.
इअ (अबू जह्ल) जं कहेइ तं मत सुनो ।	Do not listen to what this man [Abu Jahl] says.
मए ण तहिं सओ वा तेण विओजाणं सओ कओ सओ पत्तो ।	I was unable to make any communication either with him or his plane.
तेण अण्णं भणिओ, सो कस्स खणं अंतरिक्खाणं ।	He said, “it’s a piece of a space ship.
489 एत्थ लोअणं बहुअं लोअण कंइक दिट्ठो, तं जाणेसि	489 Now, a lot of people are looking for something, you know.
सो [णामो] जंजं'इफ्फेसंस'अडखमा पडिअं - एसो एसो सो ।	So it was like [the name] 'Confessions' just stuck—this is what it is.
ण्हो, पयडीए अम्हाणं कायव्वो - पयडीए सव्वं कयव्वो, धम्मे देव्वाणं ण ।	No; nature made us—nature did it all—not the gods of the religions.
किं दो सिगार वि पिओ सो वि"" भणिउं भणिऊण ओआसो	Why, smoking two cigars at the same time!” was the answer.
किं दो सिगार वि पिओ सो वि"" भणिउं भणिऊण ओआसो	Why, smoking two cigars at the same time!"" was the answer.
तुम भगवान को भुला सकते हो, वह केवल एक खोखला शब्द है ।	You can forget about God; that is just an empty word.
किं पि ण दिज्जइ मिच्छत्तं लोए दुःखं ।	Wrongly naming a thing is to add to the misery of this world.’
तेण जेण जंजं मुसलमान कुणंति करेति तेण मज्झं दोषिअं ।	So whenever a Muslim does something wrong, they blame the religion.
तं च्चिअ एल्लेनोर होइअं, तं च्चेअ अहअं वअणं हवेइ	She needs more: she needs to be Eleanor.
और रस्ते इतने गन्दे और गन्दे हो गए कि सीलबंद से पार करना पड़ता था ।	And the streets were so dirty and muddy that they had to be crossed on stilts.
धण्णा ते च्चिअ होइ जे अण्णोच्चारणसमयमग्गो ।	Blessed are they who go through moments of indecision.
इअमे 31 आनुवंशिक जनसङ्ख्यासभकेँ सेहो ध्यानमे राखल जायत ।	It’ll also take into account 31 genetic populations.
चीन ई. यू. प्रस्तावमे चारी सालक डेटा आवरेजक उपयोग कएओ से पूछिओ ।	CHINA also asked why the EU proposal uses a four-year data average.
कांग्रेसमे विखंडन लोकसभ आब स्पष्टतासँ देखय लागल अछि ।	People are beginning to see more clearly the separation in the Congress now.
एसो मणुस्साणं अप्पाणं अविचल विश्वासो होंतु, जं कि ईश्वरो तं वसोस्सं ।	This should be man’s unshakable faith in himself, because God dwells in him.
जेण वि इ. एम. 1 नामक व्यावहारिक समाधान जापानी शोधक कारणेण हम सव्वेहि लेल उपलब्ध अछि ।	In any case, a practical solution called EM1 is available for all of us thanks to Japanese research.
किसि इच्छाइ सृष्टिकर्ताजस्स समं, जं सअलइ सो किसि ण इच्छिइ च्चिअ तं किसिअं प्रकटइ	What makes a desire similar to the Creator when it corrects and how does He manifest Himself in this desire?
एहि ग्रन्थ सभमे संकेतं वर्गात्मक वा मणुसरहइ ।	On these texts, the code was quadratic or worse.
और फिर [निर्माता] डिक जानुक - वह सबसे अद्भुत आदमी है ।	And then [producer] Dick Zanuck—he’s the most amazing man.
अल हकीम में आखिरी बार, भगवान दस बार मानव रूप में प्रकट हुए ।	God appeared ten times in human form, for the last time in El Hakim.
हो सकता है कि वह दण्ड हो या स्तुति जो तुमारी आत्माए पहले की थी ।	It may be a punishment or a praise for things your soul did before.
मंसं समुव्वहणं करिज्जंति पअवीणाइं, णिव्वत्तिअं भणिउं सव्वो भणंति	Every month, they will hold meeting together with their wives at their side, but will only be twelve voices.
अण्णो मज्झो दासो कृतज्ञ ""।	Few of My bondmen are thankful.
बाइबल के खजानों को और अधिक भव्यता से खोला जाना है, ताकि विश्वासियों के लिए परमेश्वर के वचन में एक समृद्ध हिस्सा प्रदान किया जा सके ।	The treasures of the Bible are to be opened up more lavishly, so that a richer share in God's word may be provided for the faithful.
ईस 212 मए सो च्चेअ दासो मए माइक्रोफोए	E-212 I am just His servant, like that microphone.
एत्थ वि कारणं तुए अण्णो पिओ ।	There is a reason that you are the last of the animists.
17इंसाणं सच्चं पवज्ज, तवं वचन सच्चं ।	[17] Sanctify them by the truth; your word is truth.
तेण अलिफ लाम पारणाइआ ।	Then he recited: Alif Lam.
मए तेण मिचेलिन सअलं भणिओ तेण वि गअवब्भसंकेआ	For me, compared to last year, it's very difficult to understand when you speak with Michelin.
अहं 430 भणिआ, परन्तु कब्बालिपद्धति तहा ।	I said it—I said 430, but it is Kabbalistically.
कह कत्तो कहामो... लोगो लोअण्हाणं ।	What can I say… people recognized the logo.
हसणस्स विज्जा - तह तं च्चेअ अम्हे वि किं णिद्दा	The science of laughter – and why it also has a dark side
1आअव्वाणं व एअर्मणिज्जमाणस्स!	51:23 And by the Lord of heaven and earth!
अप्पाणं दाणं मग्गो पूरिआउ, ता च्चिअ एअं जिविज्जउ ।	Use your gift to the fullest of its ability and then begin to live like this.
अण्णं च्चिअ अम्हेइ मरउ वअणं वारेहि ।	Or better yet, let me die right here in the rain.
लोए सोहइ लोए लोए, ण तुमं च ।	He bears the burden of the world and not you.’
_ _ _ द्वारा पहचाने गए युवा पेड़ों का संरक्षण ।	Protection of young trees identified by ______.
97 प्रतिशत डी. एन. ए. का उच्चतर प्रयोजन क्यों है	why 97% of our DNA has a higher purpose
परंतु तेण परिअत्तेण पिओ होइ जेण ईश्वरेण सहागयइ ।	But they have ministering spirits sent from the Presence of God.
परंतु तेण परिअत्तेण पिओ होइ जेण ईश्वरेण सहागयइ ।	But they have ministering spirits sent from the Presence of God.
किं कज्जं खंड 36 तह 38 के मद्धे नागीअस्स किं भणामो	Did we ever find out what happened with Nagi between Volumes 36 and 38?
जातिगणोंके राजाओ तेण होइओ ।	Kings of peoples shall come from her.
दाविदः धरतीअपर सव्वप्रकाराणं विकसित करणें कओ कोशिश करेसि	David: Were they trying to develop it for every type of person on Earth?
सो साणंद (जीसस) संग अज्ज घणं घणं मज्झं, एसो वि समवयस्स अआवेइ ।	He and Sananda (Jesus) work very closely today and will come back together.
परंतं तेण सुहिणो मा कोइ पुच्छिज्जइ ।	But no one ever asks if you are happy.’
एहि प्रश्नक उत्तर पंथस्स छेमं आलेक्खं समविज्जइ, ""तेण सव्वं आरोहणं कृत्वा पितस्स दाहिनी सेठिओ ।	The answer to this question is contained in the sixth verse of the Creed: ""And he ascended into heaven, and is seated at the right hand of the Father.
उट्ठेइ संकेतं - आरोहसिक्खं आरोही संकेतं ।	The Rising Sign - The ascendant can be one of the other eleven signs.
जुआणो एंतो महत्ता जीएण जेण पेम्मं ण होंति	Young people, it seems that money is not(j)more important in my life.
एत्थ इबराहिम ओ वाग्दत्तस्स वआसरा ।	Here are Abraham and the later heirs of the promises.
18 ""होंतो च्चिअ अगर जाइ होंतो ।	Having 18"" is better if the space is available.
ण तुज्झ विरमंतो च्चेअ तं मए दूरं जाअं, जं कि सब्बथ प्रभु पवित्तं ।	I would have left you, if you had not stopped, because the Sabbath is sacred to the Lord.»
रोबर्टाअण्णाणं गणंती आउलत्तंतो, ण एअं गणिज्जइ जेण	It is as if Roberta ought to count her notes not this way:
सव्वं यहूदयाणं भवति, सव्वं यहूदीअणाणं प्रत्यागइ ।	All comes from the Jew; all returns to the Jew.
सो च्चिअ सव्वं मअरद्धोस्सणं दोहिं वि, असईअ वअणं पवज्जस्स पुण्णेहिं	He was to be ""put to death halfway between heaven and earth as unworthy of both"".
[157] जहा नमाज़ का सम्बंध हो (पैरा ।	[157] Where the prayer is concerned (para.
एहि बेरं रअणरसंक सिद्धीअ दिट्ठसि, जानासिओ तं वअत्तं ण अ कलिअं ।	This time you will see the accomplishment of God's mystery, and you will know that his promise was not vain.
ता मामलाइ रोम पठाओलइ जाआइ पोपअण्णणस्स जाआइ ।	Then the case is sent to Rome where [it is] studied before the Pope's decision.
अम्हे वि तेण पज्जंतीए, तेण वि पिअत्तणच्च योजनाम् अवलंबिए ""(CCC 2679)	When we pray to her, we are adhering with her to the plan of the Father,” (CCC 2679).
कांगक लेल उद्घोषणामे कहल गेल अछि, जंजं शिशु सअण्हाणं कुणसि ।	In the Announcement to Kang, it is said, “Act as if you were watching over an infant.
[219] उन्होंने दावा किया कि उनके नए आंदोलन में अन्य जातीय समूहों की भी भूमिका थी ।	[219]He claimed that other ethnic groups too had a role in his new movement.
(तोराहक) मिथ्यारोपणं रक्खं भमिआ ।	The falsification [of the Torah] occurred previously.
दूतां दरवाज़ाणं रक्खंतीं, सव्वाणं बालाणं णामेण लिखंतिं ।	Angels were the keepers of the gates, and the children’s names were all written in a book.
सव्वं गुप्तं व्यवहृतं भवति, दण्डविद्धा गुप्तं चइ ।	Everything is dealt with covertly, and sentencing is done in secrecy.
फ्लोरेंस की मदद करते हैं हम, न केवल मंगलकामनाएँ...	We Help Florence, not only wish you ....
ण भणामि जणो जं जणो तं ण भणसि, अहअं ज्ञाणं मए ण वल्लहो ।	You should not say, ‘I know what zen is,” or “I have attained enlightenment.
तेण तं राजा पुत्तं देखाइं ।	Then he showed them the king’s son.
मए तेण वि धण्णा एहि माणवसण्णं, तेण च्चिअ सव्वच्छा गाडी ।	I have been admiring the wealth of this man and he drives clean cars.
रूट 342 लगभग गंतव्य बन गया है!	Route 342 has almost become a destination!
साफ तौर पर यह एक मुश्किल स्थिति है जिसका हल क्रिस और टीम से ज़्यादा जल्दी कोई नहीं चाहता ।	‘It is clearly a difficult situation which no one wants resolved more quickly than Chris and the team.
सब्बत्थदिनं मणुआइं पवज्जसि जो जेण रअवाणं, तेण तुज्झ वअणे रअस्स वअणं ।	If you are keeping the commandments of God by observing the Sabbath day, you are on the Lord’s side of the line.
अम्हे वि ण चिंतिअंतो जेण मैक्सिकन पब्लिक स्कूलक चुनो जाअं ।	We did not think a Mexican public school like ours could be selected.
निश्चय इसराएलवासिनि थाखाय गिबि जुज्जाया आयजोफोरनि दारै जादोंमोन ।	Verily, the first trial for the people of Israel was caused by women» [Reported by Muslim].
निश्चय इसराएलवासिनि थाखाय गिबि जुज्जाया आयजोफोरनि दारै जादोंमोन ।	Verily, the first trial for the people of Israel was caused by women» [Reported by Muslim].
देइ दट्ठूण महं दइअ कहेइ तुज्झ पत्थरं कुणसु, लोअणअणाणं जाणइ सव्वं ।	When she gave it to me she said: “Keep this stone because it is God’s eye that sees everything and knows everything.
[1] जो लोग बाहर गए वे अरबी में शाब्दिक रूप से ।	[1] Literally in Arabic those who went out.
एद्दहं दिट्ठाइं महं एद्दहमेत्तग्गआइं, जह ण त्थि अहं पवज्जस्स वि णस्सामि ।	These visions took me from one state to another until I was Annihilated in the Divine Presence.
एसो तिस्रो सच्चो मत ।	This is the third and the true opinion.
उवमआ मानिज्जइ जे दुर्घटनाक बाद ओअस्स कएओ ""[तेण] कस्स ण समज्जइ ।	He acknowledged that his actions after the accident ""made no sense to [him] at all.
एत्थ वि कहिज्जउ तहिं केनो प्रणालीक कारणेण 2000 यूरो जंपा ।	I also want to tell you that thanks to your Keno system I won 2000 euros.
तेण मए सात महिलाओ संग बेसी (वस्तुतः) जाआउणि तेण सज्जा पुछीओ	So I sat down (virtually at least) with seven women and asked them for their travel advice.
कज़ाखो से कहिओ... फिर भी, कज़ाकिस्तान ही क्यों?	Tell It to the Kazakhs!...Nevertheless, Why Exactly Kazakhstan?
अण्णं मणुस्सं तुए मसीहा, ईसव्वपुत्र ।	I believe that you are the Messiah, the Son of God.
जेत्तिअमेत्तं पिओ तेत्तिओ 300 जणो जाणे उवऊढाणं	The 300 men drank the water in the same way as if they agreed to do it.
देव्वाणं भणंतं कि इअ कालवद्धी एकवर्षं भवति, इअ तं सव्वं शास्त्रमं कहेइ'देवअदिवस'।	God gave him understanding that this period of time would last for one year and that it was what is referred to in scripture as the “Day of the Lord.
हैती - राजनीतिकः संसद सदस्यों के 33 प्रतिशत पद नहीं मिले!	Haiti - Politic : 33% of the offices of the parliamentarians are not found !
छः महीने की उम्र में जिस तरह से भगवान ने आपके साथ व्यवहार किया, वह आपको पसंद आया ।	You liked the way God treated you when you were six months old.
दुश्टो धम्मे फलं लहेइ ।	The wicked receive their recompense in the earth.
गब्भसं दे सुहअ, एत्थ मए 10,000 डालर व्व णिहइ ।	Thank God, my capital is now $10,000.
तुम हमेशा अपने शिष्य की मुस्कान देखना चाहते थे जो सच में कुछ खास है ।	You always wanted to see your student’s smile which is something truly special.
प्रेमिका के प्रभाव में यह'स्वाभाविक रूप से'बदल सकता है!	This may change ‘naturally’ under the influence of a girlfriend!
अप्पाणं भणह तुज्झ किं वुड्ढपत्थिअमेत्तं ।	Now, then, tell me under what tree you surprised them together.
अहं तेण परं कदापि ण भणिओ, तेण तुज्झ जेना पेम्मं असयं ।	I never said anything before because you and Xena were lovers.
(लोऊवक दैनिक जीवन ओ ताइ)	(because daily life with Lou is also that)
कहने के लिए एक ही बात है - यह प्राकृतिक घटना और इन हिमखंडों को देखना है ।	There is only one thing to say - this natural phenomenon and these icebergs has to be seen.
जइ सो कुलं दुर्बलं कए णस्सइ सो वि सफल होइ ।	If he can weaken and destroy the family, he will have succeeded.
जइ सो कुलं दुर्बलं कए णस्सइ सो वि सफल होइ ।	If he can weaken and destroy the family, he will have succeeded.
ख) कज्जं मग्गइ जे ब्रह्माण्डे मित्तं मणुस्साणं पि किं पि	b) we ask that other friendly human of the cosmos are allowed to help us
एल्डोराडो कही भी हो सकता है, मुख्य बात देखने की ।	Eldorado can be anywhere, the main thing to see.
अज्जं चंचले पर्यावरणं अम्हाणं सव्वेसिं, ण अद्धेम् अम्ह वि ।	Today's environmental challenges need all of us, not half of us.
फ़िरऔन ने उसे तैयारी के लिए बहुत कम समय दिया ।	Pharaoh gave him little time to prepare.
सुरक्खतं लोयं कायव्वं, पुराणं णस्सइ अम्हे वि ।	We will create a safer world, or destroy the old one.
जंजं पडिहाइ तुज्झ सूत्रं गच्छसि, तह तं समीपसु गच्छसि ।	If you pray, then pray toward a sutrah (barrier) and get close to it.
तेण अणुबिसआ अण्णाणं णिव्वइज्जइ	Thus, Anubis could decide the soul’s fate.
परंच (व्यावसायिक) राजनीतिक व्यवस्थाक बाहर महान राजनीतिक परियोजनासभ सेहो बनाओल जा सकैत अछि ।	But great political projects can also be created outside the (professional) political system.
अथ वा तं तारा मग्गं उड्डी तं सुरअ महिमा मग्गज्जिहिसि	Or can I fly up among the stars to search for him in the glory of Heaven?’
अप्पाणं जं पुत्तं सो दोहयं रुवइ ।	When a son gives to a father, both cry”.
जहिं सव्वे जाणइ भगवान् मग्गे मग्गो, अणिच्चारो त्यागो, अणत्थो समप्पंति च्चेअ ।	That all may know the degree of my patience, resignation and sacrifice in the path of God.
जं तुज्झ वराईं तेण खेलउ, तेण वि 20 प्रतिशत किं का?	Play Only With What You Have – Why That 20%.
सो अब्शालोम इसराएलीओ का हिअअस्स अपहुत्तो ।	And “so Absalom stole the hearts of the men of Israel.
उर्केश नगर भले ही न हो, पर तुम मेरे हो ।	But you are mine, even if the city of Urkesh is not.
भग्गभग्गं भग्गं देव्वाणं पज्जलं ।	Generally speaking, gods desire nothing but adoration.
682 सअण्णे शिशुं अहं लहेमि ।	682 I took the little baby.
इरीट्रिया और ज़िम्बाब्वे उल्लेखनीय अपवाद हैं - और इसलिए, भविष्य के लक्ष्य ।	Eritrea and Zimbabwe are the notable exceptions - and, therefore, future targets.
कनाडा बियॉन्ड 15/1: किं कआ अम्हे कआ	Canada Beyond 150: What we did
85:19 नहीं, अवज्ञाकारी अवज्ञामे जीवइ	85:19 Nay, but those who disbelieve live in denial
अथ वा बलयमाणेण एंसीवर्षं ।	Or if due to strength, eighty years.
निग्गास मह 27 साल की हो गई सोण्हा	Niggas think I’m 27 and shit.
15) तुम अब अपने ईसीओ100 का आनंद पूरी तरह से कार्यात्मक रूप से ले सकते हो ।	15) You can now enjoy your ECO100 fully functional.
जं सच्चं जाणइ तं केणइ अंशकं ण ढक्कइ ।	one must not conceal any part of what one has recognized to be true.
भणिओ च्चिअ ण हु देवा इच्छसि तुज्झ पिअअमस्स मरिआइं	He said, “I don’t think the Lord would want you to punish yourself for the death of your little boy.
तह वि सुरआ सुहावेंति जाआइं, दिट्ठाइ तुज्झ सेहतमंद होइं ।	Things got better after that, and now, you can see, the trees are healthier.
तेण कहाः'सोवियत संघाअंतरंआठ सभ्यताआ ।	He said: 'After the USSR, there are eight civilizations.
सहकर्मिणओ सअण्हा संभाषणे मे तं सदा नॉर्मन अमेंडमेन्ट म्हणुआ ।	In my conversations with my colleagues, I have always called it the Norman amendment.
मज्झ नीतियुद्धा भयं हिअअअं हिअअं ण होंति	Fear of My Justice is not present in hearts.
एत्थं कएकिसं जिविज्जसि, अप्पाणं जीवं संतोसो होइ ।	If you do this, you will live many years, and your life will be satisfying.
(मरेन सिंहं भणिमो ।	(I vote for the dead lion.
अकाशं उव्वेल्लिअमोडलाइं वहइआ ।	The sky was very low full with clouds of rain.
तेण तं सालंतं (अथ वा तेण वड्ढं) खिण्णहसि ।	That will hurt her for a year (or longer).
युद्ध का अब राजनीतिक औजार के रूप में इस्तेमाल नहीं किया जा सकता, श्रीमती मर्केल!	War cannot be used as a political tool any longer, Mrs. Merkel!
दाविद केमरौन इंगलैंडमें हआओ, ण जाणामो केत्तिओ वोटो ।	In England, David Cameron has lost I do not know how many votes.
10/04/2014 कारों के लिए इस विचार के बारे में आप क्या सोचते हैं?	10/04/2014 What do you think of this idea for cars?
उड्डाण 3532 क अपन सहकर्मिओ सओ किं तुए पुणो वि सम्बोधओ?	Did you speak again of your observation with your colleagues of flight 3532?
तहिं चेअ जाणह जे देव्वाणं विमर्शनं समाअं ।	Only then will you suddenly realize that God’s work of judgment has already concluded.
मं सोऊणपच्छिआइं दिस्सइ सअण्हा विरइअं, अहं तेण परं कदापि ण होइमि ।	I have seen the Bird of Paradise, she has spread herself before me, and I shall never be the same again.
अ तेण वि सुरजराज्यस्स उद्धारणम् अ मज्झ ईश्वरयोजणाणं कालविस्तारे अण्णो ।	It was the moment when the kingdom of heaven was inaugurated and God’s original plan to elevate us was sparked in time and space.
भोजन की आपूर्ति, रईसों के बीच विवादों को निपटाने और फ़िरौन के घराने के संचालन और सुरक्षा के लिए भी वह जिम्मेदार था ।	He was also responsible for the supply of food, settling disputes between nobles and the running and protection of the Pharaoh’s household.
तवं मूसासँ सुहं मित्तं को ण होंतु ।)	You could not have a better friend than Moses.)
दूरंतरिअसो ईश्वरशत्रुविद्धो होसि ।	When you are far off, you become a target of God's enemy.
राष्ट्रपति ओबामा ने कोशिश की, उन सबने कोशिश की ।	President Obama tried, they all tried.
पर आवंडुरं मए भिअसिओ वि, अम्हे वि अम्ह भीअण्णाइं चिअ भिअअं	But I was scared of the noise, scared for my parents and my sister”.
ओ सभ नदीमे हमर भायकेँ गोली मारि देलक ।	They shot [and killed] my brother in the river.
और केवल भगवान्की वाणीमें प्रार्थना कयउ	And only by praying amid God’s own words
[74:52] धर्मग्रंथं सव्वे जणं लहं इच्छंति?	[74:52] Does each one of them want to receive the scripture personally?
विज़िटर II\1: पिरामिड भी हो सकता है?	Visitor III: It could be a pyramid too?
1943 से कैफे बाबा एक ऐसा संस्थान है जिसे मैं आजमाना चाहता था ।	Since 1943 café Baba is an institution that I wanted to try.
हि हु सेड नोः ईरान की विवादिततम फिल्म?	He Who Said No: Iran’s most controversial movie?
किं पि ण दिज्जइ मिच्छत्तं लोए दुःखं ।	Wrongly naming a thing is to add to the misery of this world.’
आस्थाया दुस्साहस्स मायं जाअं दिज्जइ, जाअं पब्भिअजाणं पवज्जइ ।	Faith looks on it as an enemy's land till it is possessed by the people of God.
और तुम एक वास्तविक समुदाय के सदस्य हो!	And you are a member of a real community!
अण्णं [विलियमं] नोट्सु कए सार्वजनिक परिवहनं लउं'।	Take a note from your brother [William] and take public transportation'.
