prakrit	english
पुट्ठो पुणरवि रन्ना जणणिविउत्तो स जीविही किं नो?,कत्थवि वुड̣धि जाही,कइया व समागमे तेण	Son, if you give birth to a boy again, will he still be alive?
अह सुमई भणइ पुणो बहुकालं जीविही स ते पुत्तो,कत्थ य वुड̣धिं जाही एयं पुण नेव जाणामो	"Ah, my son, will you live long again?" "She said calmly," "I don't know how you will manage to escape again.
कुसुमायरउज्जाणे जइया गयणाओ कन्नगा पडिही,तत्तो य सिग्घमेव हि समागमो तुम्ह तणएण	If the gooseflesh falls on your thighs As you kneel before it, I will gather you quickly.
तव्वयणं सोऊणं गयसोगो पहसिओ भणइ राया,भो! भो! सुवन्नलक्खं सिग्घं सुमइस्स देहसि	You have to fall in love with a man who is so hard to get," said Raya. "" But, boy, are you ready to sacrifice your life for the sake of a million.
एयवयणाओ अम्हं देवीविरहम्मि गरुयसोगग्गी,पसरन्तो ओल्हविओ समागमासाजलोहेण	It is as if we are God's enemy: The herd of oxen is spreading out in the wet with the waters of the confederacy.
अह निययाभरणेणं सुवन्नलक्खेण पूइओ सुमई,नीहरिओ रायावि हु मणयं जाओ विगयसोगो	"Ah, the blossom of longing, Like a golden lotus Placed on a bed of reeds." "I suppose you have heard how that woman behaves.
अह अन्नया य राया सुत्तो रयणीइ पेच्छए सुमिणं,उत्तरदिसामुहेणं वयमाणेणं मए कूवे	Oh! my dear, Raya is asleep, And the sun is shining When I see her face in the water. I suppose I should go to the well To wash away her tears.
पडिया अद्धमिलाणा धवला कुसुमाण मालिया दिट्ठा,गहिया सहसा जाया पच्चग्गा सुरहिगन्धड̣धा	Aunt, A white kadamba blossom, A garland of raisins appears on your face, But usually it is covered with fresh gooseflesh."
दठ्ठूणमिणं सुमिणं पडिबुद्धो चिन्तए इमं राया,एयं हि सुमइभणियं दिट्ठं सुमिणं मए अज्ज	I suppose you have never seen me before," He said, "But I see you now, my dear.
ता होही लहु इण्हिं मज्झ वयन्तस्स उत्तरदिसाए,विसमदसापत्ताए देवीए सङ्गमो 'वस्सं	Then, behold, I stand in the North direction of Vismad, Protecting it from the gods."
इय चिन्तिऊण राया नियदेसपलोयणच्छलेणं तु,गुरुसेणापरियरिओ नीहरिओ हत्थिणपुराओ	Thinking how wretched it is That you are slipping away into the nether world of destiny, You foolish doe who loves your master's army.
कइवयपयाणगाइं गन्तुं उत्तङ्गगिरिसमाइन्ने,अइगुविलतरुसणाहे अडविपएसम्मि एगम्मि	Many a traveler has reached the top of the mountain; everywhere he goes he meets a woman whose husband is abroad and who is eager to join him.
आवासिओ ससेन्नो अह कूवे दीहतणसमोच्छइए,कहवि हु पमायवसओ पडिया रन्नो चमरहारी	The sesame field is full of reeds, The wells are overflowing with water, And the fields are stinking.
अह रन्ना आणत्तो पुरिसो रज्जुप्पओगओ तत्थ,ओइन्नो सन्तमसे इओ तओ जाव गविसेइ	"Oh, there is the rain, And the men are coming up with ropes." "With these sweets She is now singing her way.
ता एगत्थनिलुङ्क्कं पिच्छइ जुवइं तडीइ अगडस्स,भयकम्पन्तसरीरं सन्तमसे तत्थ अच्चन्तं	Then the ship's rudder slipped off and the yokel leapt away in fright." "With such fear and trembling her body trembled beyond belief.
कासि तुमं इह सुन्दरि! इइ पुट्ठा जा न देइ पडिवयणं,ताव य जलमज्झगया विलासिणी कण्ठगयपाणा	"You are so beautiful! Can't you see she is wearing a skirt? She is lying on top of you And wants you to cover her neck With a sheet of water.
सम्पत्ता तेण तओ घित्तूणं तयं कमेण नीहरिओ,वज्जरइ राय! एत्थं अन्नावि हु अच्छए जुवई	Wealth is due to him, Thinking of what you can get away with, Mr. Roy!" "Here are the other young men.
आभट्ठावि न भासइ भएण कम्पन्ततणुलया वरई,एयं निसम्म रन्नो फुरियं अह दाहिणं नयणं	If you do not see him coming, Do not shake him, For he will surely flee, And will not return right away.
अह विम्हिएण रन्नो विचिन्तियं किं हविज्ज सा देवी,अहवा इह अडवीए देवीए सम्भवो कत्थ?	I wonder if there is a goddess who can heal him, or if it could be another goddess?"
अहवा कम्मवसाणं सत्ताणं नवरि एत्थ संसारे,भवियव्वयावसेणं नत्थि तयं जं न सम्भवई	"In this world, a novice conquers everything, But in future generations, Nothing will be impossible.
जइ सा हविज्ज देवी ता सुन्दरमेव,कावि अह अन्ना,तहवि हु उत्तारिज्जउ करुणामूलो जओ धम्मो	If she is a holy goddess, then she is beautiful.," "But, my dear, there must be someone who understands and expresses compassion.
इय चिन्तिउण रन्ना भणिओ पुरिसो तयम्पि कड̣धेहि,अह सो रज्जूइ पुणो पुरिसो कूवम्मि ओइन्नो	Thinking that the God of Love would say to the man Who had set foot on the bank of the river," "Oh! the well! is full of men again.
भणिया य सुयणु! अहयं रन्नो सिरिअमरकेउनामस्स,वयणेणं तुहुत्तारणकज्जेणं पुणरवि पविट्ठो	"You fool, I'm off to sleep!" "Cursed be the Syrian's name now:" "Your lips, once again, have been sanctified by God's Word.
ता आरुह मञ्चीए नरगागाराओ अन्धकूवाओ,जेणुत्तारेमि लहुं एयं च निसम्म सा वयणं	Then, behold, the hells of hell, dark as the dungeons, bow before me as I kneel before them.
आरụ̄धा मञ्चीए कमेण उत्तारिया तओ देवी,दुब्बलदेहा रन्ना कहकहवि हु पच्चभिन्नाया	And when she came down from the stage Her face was red as a goddess's, Weakened by grief, She said," "I have something against you."
सावि य दट्ठुं रायं रोवन्ती घग्घरेण सद्देण,चरणविलग्गा रन्ना अंसुजलप्फुन्ननयणेण	When she saw you she was moved to tears and cried out with her crow," "Without leaving her feet She burst into tears.
नीया निययावासे देविं दठ्ठूण परियणो सव्वो,अइगुरुसोगो रोवई विविहपलावेहिं दीणमुहो	Every one has seen God in His past life, Yet every one has faced adversity As he has wept over many a day
अह कयसरीरचिठ्ठा पुट्ठा कमलावई नरिन्देण,तइया करिणा नीयाए किं तुमे देवि! अणुभूयं?	Oh! what a cruel man you are, Running after a lotus Placed on your back By Narinden, Are you a goddess when you are busy making love?
कइया व कहव पडिया भीसणकूवम्मि एत्थ अडवीए?,कमलावईइ भणियं सुणसु महाराय! साहेमि	"How come, you fool, Can you hear me now?" "Cursed is the voice of a lotus.
वडपायवम्मि लग्गे देवे तं विलग्गिउं असत्ता हं,वेगपहावियकरिणा हरिया एगागिणी ताव	If the God of Love were to come, I would have stopped him, For there is a long way to go Before he can make love."
अह सो गिरिसरियाए विसमतडिं पाविऊण सहसत्ति,अइवेगभङ्गभीउव्व नहयलं झत्ति उप्पइओ	"Ah, the mountaineers! One hundred and eighty feet [are] on the wrong side of the mountain; Suddenly it seems as if the river is overflowing With water.
तत्तो भयभीयाए विचिन्तियं हन्त! करिवरपविट्ठो,अवहइ कोवि देवो न जेण करिणो वयन्ति नहे	So frightened, think about it! Get over it; there's something God can do That we can't."
इय विम्हियहियया हं पुणो पुणो जा महिं पलोएमि,पिच्छामि ताव गिरितरुपमुहं समगंव वच्चन्तं	"I'm off again," "said the woman, as I walked up and down the hillside To see her friend's face.
एगागिणी अरण्णे महिला बीहिज्ज अडवीमज्झम्मि,इय कलिउंव सहाया तरुणो वेगेण धावन्ति	In the middle of the jungle women sit astride their husbands, And with them young men run wild."
किडियनरसमाइं चलन्तमणुयाइं गामनयराइं,जलभरियसरवराइंवि महिनिवडियछत्तसरिसाइं	With kiddies, Moving through the village streets, With streams of water overflowing their banks, And with rain clouds hovering above them.
दीहरवणराईओ सप्पसरिच्छओ सच्चविज्जन्ति,पालिसारिच्छा गिरिओ सारणिसरिसाओ सरियाओ	Long - eyed women search for the truth, Policeman's wives search for secrets.
अह दूरमइगयाए सम्भरिओ अङ्गुलीयगमणी सो,अवहत्थिय ताहि भयं पहओ सो तेण कुम्भयडे	"Ah, the fearful woman, Afraid that when she is far off She may lose her virginity. So he goes to the potter.
अविय मणिसञ्जुयकरपहओ वज्जेणिव ताडिओ गइन्दो सो,मोत्तुं गुरुचीहाडिं अहोमुहो झति गयणाओ	The tinkle of the trumpet, Like the clap of a trumpet When struck by a thunderclap, Is deafening to the ears of the God of Love.
जा निवडइ वेगेण ताव य हिट्ठामुहं नियन्तीए,दिट्ठं महन्तमेगं सरोवरं भङ्गुरतरङ्गं	If you choose to walk in the wind, If you decide to walk on the water, You will see a great cloud And a lake with fragile waves.
परिहत्थमच्छपुच्छच्छडाहि उच्छलियसलिलउप्पीलं,महुमत्तमहुयरीविसररुद्धंवियसन्ततामरसं	A swarm of bees hovers over the mango blossom, Like a banner proclaiming the birth of a child.
अविय फुरन्तमणिजालयं तरन्तटिट्टिभालयं,रहङ्गपन्तिमण्डियं विहङ्गसत्थवड्डयं	A lake in autumn is like a waterfall bursting at the seams, Like a panorama with birds hovering around it.
भमन्तभूरिगोहियं सरोरुहालिसोहियं,अणेगसावयाउलं झसोहलुद्धसाउलं	A flock of parrots hovers over the rocky surface, Like a flock of peacock's tail feathers Waved by the God of Love.
चलन्तभीमगाहयं रडतदददूरोहयं,मरालपन्तिसोहियं तमालतालरेहियं	A village in motion Is distant from the river, Weeping and gnashing of teeth Are among the pleasures of love.
रणन्तछप्पयालिंयं बलायपन्तिमालियं,फुरन्तसिप्पिसुम्पुडं भमन्तभीमदीवडं	A forest fire was burning, A flock of parrots was on the move, And a cloud covered the ground.
अह तम्मि नीरपुन्ने अणोरपारम्मि सरवरे हत्थी,गयणाओ नीसहङ्गो पडिओ बुड्डो य जलमज्झे	"Ah, you fool, The elephant ran across the river In such a hurry, That his body sank beneath the weight of the water That drained away.
अह नीसहे गइन्दे बुड्डे गम्भीरनीरमज्झम्मि,मणिणो माहप्पेणं जलउवरिं चेव थक्का हं	"Ah, you fool, But when the water is hot You can drink it easily." "With that said, I am exhausted By the tears welling up in my eyes.
आसाइयफलगावि य उत्तरिउं सरवरस्स तीरम्मि,उपविट्ठा भयभीया गुरुसोगा इय विचिन्तन्त्ता	The asafoetida flower grows in the air, Towards the top of the hill, And when it sits astride it, It is like a teacher's bow When frightened."
तारिसरिद्धिजुयावि हु खणेण एगागिणी कहं जाया,देसियजुवईव अहो! अइगुविलो कम्मपरिणामो	Because you are so eager to learn something, let the young woman go and do it herself; my dear, such a young man can do it all!
सो कत्थ भिच्चवग्गो सा य सिरी सो विणीयपरिवारो,होहामि कहं इण्हिं विहिया एगागिणी विहिणा?	"He is from a poor family, Siri, so how can I help him if he needs more than one wife?
एमाइ चिन्तयन्ती उवरिमवत्थेण छाइउं वयणं,सरणविहुणा सोएणं तत्थ अहं रोविउं लग्गा	I suppose she was thinking of the shade on her face When she fell asleep without my bracelets and I began to cry.
एत्थतरम्मि केणवि भणिया किं सुयणु! रोयसे करुणं?,तत्तो ससम्भमाए पलोइयं मे तओहुत्तं	Why, tell me, would you sleep with me now? Would you mind crying? I would have done the same thing if I had known better."
कइवयपुरिससहाओ तरुणनरो वेसरीइ आरụ̄धो,कयमुहसन्धी पुरओ दिट्ठो उद्धधूलियङ्गिल्लो	With so many young men at hand The girl's face grows dark As she slowly puts it on.
अह सो दट्ठूण ममं विम्हियहियउव्व वेसराहिन्तो,उत्तरिय मज्झ चलणेसु निवडिओ भणइ एवं तु	Oh! look at me! You look just as you did when I was abroad: The North chooses to follow me And you do."
परिजाणसि भगिणि! ममं सिरिदत्तो हं कुसग्गनयराओ,आसि गओ परविसए वणिज्जबुद्धीए सत्थजुओ	"My dear girl, You have proved me wrong! I have proved your worth. But come, you foolish young man with a genius for business.
बारसमवच्छराओ पुणरवि चलिओ पुरम्मि निययम्मि,सत्थेण समं इण्हिं सम्पत्तो इह पएसम्मि	Once upon a time, wretched men went astray; In the past, this wealth has been theirs in abundance.
ता भगिणि! केण विहिणा जाया एगागिणी तुमं एत्थ?,इय भणिया तेण अहं विगयभया झत्ति सञ्जाया	"So, sister - in - law! Who wants to go abroad? You are here now, are you?" "I said, and was completely at a loss what to do with him.
तत्तो य मए सिट्ठो गयावहारइनिययवुत्तन्तो,अह दिन्नवयणसोया भणिया वणिएण तेणाहं	Well, then, if I may sit down and talk to you about it, I would love to spend the night with you.
दूरम्मि हत्थिणपुरं सावयचोरेहिं दुग्गमो मग्गो,आसन्नं खु कुसग्गं किं कायव्वं तुमे भगिणि!?	I beg of you, my poor girl, Why, my dear, is it the wrong time And place For your husband's funeral? What are you going to do About the approaching one?
तत्तो य मए भणियं कुसग्गनयरम्मि वच्चिमो ताव,पेच्छामि बन्धुवग्गं पभूयकालाओ सिरिदत्त!	Well, then, I suppose you have never heard of me, but perhaps you have heard of my brother's work in the fields!
अह तेण सहरिसेणं नीया सत्थम्मि निययआवासे,विणओवयारपुव्वं च कारिया सयलदेहठिइं	Ah, the city army, Here we are at our seventh stop, Doing our best to make peace.
तं देवदिन्नकुण्डलपमुहं सव्वम्पि निययआभरणं,मोत्तूण अङ्गुलीयं समप्पियं तस्स वणियस्स	He is God's arrow, the arrow of the God of Destiny, the first to move, the last to move.
तत्तो सत्थेण समं चलिया सिरिदत्तपरियणसमेया,किज्जन्तविविहविणया वणिएणं,डोलियारụ̄धा	So let us go on walking in harmony with the seven, until we see how the God of Love compares."
सोवि हु सत्थो जाव य लहुयपयाणेहिं वयइ अणुदियहं,कइवयपयाणगाइं ता एगदिणम्मि अडवीए	I will wait a day or two," he said, "If you ever want to make love you can make it happen.
अवसउणेणं थक्को दियहे दियहे न जायए सउणं,जाव य दिवड्ढमासे वोलीणे सव्वसत्थिल्ला	Tired of waiting for the good old day To come, You'd better not go out, For when it's broad daylight You can have it all.
सम्बलरहिया तहइं ठाउमसत्ता तओ समुच्चलिया,अवगन्निय अवसउणं नियपुरगमणस्स तुरमाणा	Able - minded person is one who is kept in good humour, One who is aggregated, Who is ignored and who has no hope of ever attaining it.
तत्तो बीयपयाणे पभायसमयम्मि तम्मि सत्थम्मि,सहसा अन्नाउच्चिय दिन्नो भिल्लेहिं ओक्खन्दो	So at the time of sowing the seeds, he sits tight, usually with his eyes closed."
अह कलयलं निसामिय सत्थजणे तत्थ आउलीभूए,भिल्लेहिं हम्ममाणे ल्हसिज्जन्ते य सयराहं	"Ah, tomorrow the landowner's son - in - law will come, but he will have to wait a year before he can buy it.
सज्झसभरिया अहमवि पडिया अडवीइ जाव इक्कल्ला,घेत्तूणं एगदिसं नट्ठा अइगुविलतरुगहणे	Aunt, If you ever want to be alone together You'd better take another road.
खणमेगं तत्थच्छिय वयामि किल तम्मि सत्थठाणम्मि,पुणरवि मिलामि जेणं सत्थस्स अहन्ति चिन्तन्ती	I suppose I shall meet you again in the autumn, When I shall have a second thought of you.
जाव पयट्टा गन्तुं ताव न जाणामि कत्थ गन्तव्वं,कत्तो समागया हं काए व दिसाए सो सत्थो	As far as I know, he does not know where he is going, nor how he is getting there.
भयकम्पन्तसरीरा ताहे एयं दिसं गहेऊण,सञ्जायदिसामोहा चलिया तरुगहणमज्झेण	"Fearful traveler, you should have gone in this direction, As if you were passing through the middle of the night In search of an excuse.
दूरं गन्तूण पुणो वलिया वच्चामि पिट्ठओहुत्तं,सिरिदत्तजणगवेसणपरायणा तत्थ वणगहणे	I will walk a little farther, Then I'll walk again." "With those arrows I threw at him As if he were a man making love.
अह भयतरलच्छीए इओ तओ तत्थ परिभमन्तीए,उम्मग्गगमणभज्जन्तकण्टयाइन्नचरणाए	Oh! what a frightful sight it is, To behold it hovering about, Like a line drawn around a woman's thighs.
पहसमसụधियाइ दढं पए पए नीसहं कणन्तीए,वसिमन्नेसणहेउं चडिऊण थलम्मि एगम्मि	When she tried to climb down from the bushes, She fell hard and fell on her knees."
जा पुलइयं समन्ता ताव न दीसइ कहम्पि वसिमन्ति,वियरन्त वालनिवहा समन्तओ भीसणा अडवी	If the Pulis do not show their power, they will continue to exist; if they do not, their power will be destroyed.
अविय कत्थ य करालकेसरिगुञ्जियसवणुत्तसन्तसारङ्गा,कत्थइ महन्तजुज्झन्तमत्तवणमहिसयाइन्ना	"Without saying a word, The girl's breasts are like golden pots filled with the jewels of affection. In the middle of each King Love has set his bow.
कत्थइ गरुय पवङ्गमविमुक्कबोक्कारबहिरियदियन्ता,कत्थ य वणदवडज्झन्तजन्तुकयभीसणारावा	A cat can pierce a tree, Turn it upside down And pierce it with its fingernails.
कत्थइ पयण्डगण्डयखण्डियरु रुविसररुहिरबीभच्छा,कत्थइ सरहपलोयणपलायमाणोरुकरिविसरा	"How will you ever manage to kindle the fire In the kitchen dark with rain?" "was the cry of the hunter's wife.
अविय वियरन्तमहाधणुहत्थलोद्धया सुक्कमयसिरसणाहा,जेट्ठक्कमूलकलिया गुरुचितारोहिणीसमेया	Without leaving her bedside for a moment The girl's thick, fragrant hair Is like a column of smoke rising from the fire of love.
भद्दवयसमणसहिया उट्ठन्तविसाहपयडमन्दारा,वियरन्तभूरिरिक्खा रेहइ अडवी नहसिरिव्व	A man who is angry at one's being bossy, Who is jealous of the other's sulking, Will not object If he continues to sulk."
अह तं अडविं सुइरं पलोययन्तीइ गाढतिसियाए,एक्कम्मि दिसाभाए दिट्ठं जलभरियसरमेगं	"Ah, those thickets of sesame trees Chafing against the sun - One day you'll see a cloud full of water.
तत्तो तत्तोहुत्तं चलिया भयलोललोयणा अहयं,कहकहवि हु सम्पत्ता तम्मि पएसम्मि किच्छेण	Well, then, go and tell me, you sulking girl, how you're getting your wealth So that someone can steal it for you?"
पीयं च तत्थ सलिलं उवविट्ठा तरुवरस्स हिट्ठम्मि,एत्थन्तरम्मि तरणी अन्तरिओ पसरिया रयणी	The water was crystal clear, Like a banner proclaiming the victory of good over evil.
तओ फेक्कारन्ति सिवाओ जह जह गुञ्जन्ति सावया विविहं,तह तह भएण हिययं कम्पए मह तत्थ रन्नम्मि	The thunder was so loud, So diverse was the noise, Except that it shook me to the very core."
अह अड्ढरत्तसमए जाया उदरम्मि दूसहा वियणा,तव्वसओ य कणन्ती लुलामि भूमीए जाव अहं	O, what a cruel man I am, When my stomach is distressed And I am swooning over my stomach As if I were a creeper.
ताव य मिगीव रन्ने अइगुरु वियणाहि पीडियसरीरा,सयमेव पसविया हं महाकिलेसेण नरनाह!	So I must run, my poor girl, If you're sick and thirsty all the time, To hell with a big mess!
मुच्छाविरमे य तओ लुलमाणं महियलम्मि तं बालं,घित्तूण निजुच्छङ्गे गरुयसिणेहेण तत्तो य	A swarm of gnats hovers over the buffalo's shoulders. When he hits them with his horn They twitching."
गन्तूण जलासन्ने ण्हावित्ता ताहि निययवत्थाइं,पक्खालिय एगन्ते उवविट्ठा तरुलयागहणे	Destination is not in the water, it is in the fixed positions, but in the valleys below it is gently undulated.
तं दिव्वमणिसणाहं उत्तरिय अङ्गुलीययं हत्था,कण्ठम्मि मए बद्धं सुयस्स एवं भणन्तीए	The only answer I have for you is that your hand was on my little finger, and I was lying in wait for you.
एयस्स पभावाओ मा मह तणयस्स केवि अङ्गम्मि,पहरन्तु भूयसावयपिसायदुट्ठग्गहाईया	"Don't be so touchy: There's something on my body That keeps pushing me aside." "was her reply.
वणवासिणीओ! निसुणह भो भो वणदेवयाओ! मह वयणं,तणयसमेया सम्पइ सरणं भवईणमल्लीणा	"You forest dweller! Stop your anger, you forest god! Please, my dear, don't turn your back on me If you value your life.
केसरिवग्घाइणं मंसाहारण कूरसत्ताणं,भीसणअडवीपडिया रक्खेयव्वा पयत्तेण	The elephant guards the elephant's head, Protecting the wild beast
जइ पुत्त! इमा रयणी हॊन्ता मह तम्मि हत्थिणपुरम्मि,ता एत्तियवेलाए राया वद्धाविओ हॊन्तो	"My son, if this woman was in my arms, I would have married her," "was the answer.
सयलस्स परियणस्स य पुरस्स सामन्तन्तिवग्गस्स,कस्स व न होज्ज तोसो पुत्तय! तुह जम्मसमयम्मि	A simple man is good for nothing, But when you are perfect, My son, You have to be patient."
दुव्विहियविहिविहाणा पडियाए भीसणे य रन्नम्मि,जाओ सि मज्झ पुत्तय! करेमि किं मन्दभग्गा हं?	Because the roads are slippery, My son, I have to run. What have I to do with this mess?
जायम्मि तुमे पुत्तय! रन्नम्पि हु सम्पयं इमं वसिमं,नट्ठं भयं असेसं उच्छङ्गगए तुमे वच्छ	"Well, you son, I suppose you have already passed away, But the fear has left you in such a state That you now moan.
तुह मुहपलोयणेणं सम्पन्नमणोरहा भविस्सामि,रविकरपहयन्धयारे जायम्मि दिणम्मि सकयत्था	I long to see your face, For the day will come When Ravi's steps will be mirrored in your path.
एमाइ भणन्तीए पहसमखिन्नाए नीसहङ्गाए,वियणाविगमाओ तहिं समागया मे तहिं निद्दा	They say," "I'm offended, but I slept with them when they met."
तत्तो खणन्तराओ पडिबुद्धा झत्ति मन्दभग्गा हं,केणावि हु उल्लवियं एयं सद्दं सुणेऊणं	Well, then, you fool, It's only a matter of time before I hear back from you Something strange happens.
निउणं जोयन्तेणवि पभूयकालाओ पाव! दिट्ठो सि,काहामि वइरअन्तं अणुहव दुव्विहियफलमिण्हिं	When new joinees appear on the earth, Blessed are they who see!"
एयं सद्दं सोच्चा भीया,को एस एवमुल्लवइ?,इय चिन्तिय जाव अहं नियउच्छङ्गं पलोएमि	"I suppose you have been thinking a lot :'Who is this?'or'What do I need to know now that I'm looking for a job?
ता नत्थि तत्थ पुत्तो विचिन्तियं ताहि हा! किमेयन्ति,किं कहवि होज्ज पडिओ अहवा केणावि अवहरिओ?	Well, my son, I suppose you have never seen him; how can you do it?"
