english	prakrit
Silly girl, Youth races past Like a river in spate, The days are fleeting And the nights unreturning. So why this stubborn sulkiness?	णइपूरसच्छहे जोव्वणम्मि अइपवसिएसुदिअहेसु,अणिअत्तासु अ राईसु पुत्ति किं दड्ढमाणेण
Every one knows the hardhearted lover Leaves at dawn. Venerable Night, stretch on So that morning will not come.	कल्लं किर खरतिअओ पवसिहइ पिओ त्ति सुव्वइ जणम्मि,तह वड्ढ भअवइ णिसे जह से कल्लं चिअ ण होइ
As her husband is about to depart She goes from door to door Asking all the women who suffer from absent husbands For the secret of surviving the farewell.	होंतपहिअस्स जाआ आउच्छणजीअधारणरहस्सं,पुच्छंती भमइ घरं घरेण पिअविरहसहिरीओ
O god, please Let my husband form other attachments, For men who have experience of one person only No longer appreciate what's good and what's bad.	अण्णमहिलापसंगं दे देव्व करेसु अम्ह दइअस्स,पुरिसा एक्कंतरसा ण हु दोसगुणे विआणंति
Wayfarer, Your shadow is hiding beneath your body, Not showing one bit of itself for fear of the midday sun, So why don't you too take a rest?	थोअं पि ण णीइ इमा मज्झण्हे उअ सरीरतललुक्का,आअवभएण छाही वि ता पहिअ किं ण वीसमसी
By bringing that man Who keeps his distance To ask me how I'm feeling, You have proved a blessing. Now, fever, if you take my life, I will not complain.	सुहउच्छअं जणं दुल्लहं पि दूराहि अम्ह आणेंत,उअआरअ जर जीअं पि णेंत ण कआवराहोसि
Why should anyone care Whether my fever has abated or not? You, my dear, asking how I am And smelling so fragrant, Do not touch me who stink of fever.	आम जरो मे मंदो अहव ण मंदो जणस्स का तत्ती,सुहउच्छअ सुहअ सुअंधगंध मा गंधिरिं छिवसु
Your long hair sways like a peacock's fan, Your thighs quiver, your eyes half close, With long pauses you sort of play the man. Now do you see what hard work it is For a man?	सिहिपिच्छलुलिअकेसे वेवंतोरु विणिमीलिअद्धच्छी,दरपुरिसाइनि विसमिरि जाणसु पुरिसाण जं दुक्खं
Love Estranged and patched up again, Once its dissolution is plain to see, Will never taste right again Like water that has boiled then cooled	पेम्मस्स विरोहिअसंधिअस्स पच्चक्खदिट्ठविलिअस्स,उअअस्स व ताविअसीअलस्स विरसो रसो होइ
Thinking she hears the twang of her husband's bow Above the crashing thunder, The captive wife tells the royal hostages To wipe away their tears.	वज्जवडनाइरिक्कं पइणो सोऊण सिंजिणीघोसं,पुसिआइ करिमरीए सरिवंदीणं पि अच्छीइं
It is only the echo of a thunderclap From an early rain cloud. I suppose you were hoping it might be the twang Of your husband's bow, For why else is the hair on your body bristling?	करिमरि अआलगज्जिरजलआसणिवडणपडिरवो एसो,पइणो धणुरव कंखिरि रोमंचं किं मुहा वहसि
Because she put up with it all The clumsy youth went on making love to her So that her limbs now look like wilting acacia flowers.	सहइ सहइ त्ति तेण तहा रमिआ सुरअदुव्विअड्डेण,पव्वाअसिरीसाइ व जह से जाआइ अंगाइं
She does not complain to her husband About his brother's advances Not because she herself has impure thoughts But because he is so touchy And she is afraid of causing a split in the family. Instead she pines away.	असरिसचित्ते दिअरे सुद्धमणा पिअअमे विसमसीले,ण कहइ कुडुंवविहडणभएण तणुआअए सोण्हा
Imagining how it was when her lover was with her, The woman suddenly remembered how angry she had been And raged against thin air. Far from laughing, her friends wept for her.	चिंताणिअदइअसमागमम्मि कअमण्णुआइ भरिऊण,सुण्णं कलहा अंती सहीहि रुण्णा ण ओहसिआ
Dealings with sympathetic people, Even if inconclusive, Are, I think, more pleasant Than dealings concluded With their opposite.	हिअअण्णुएहि समअं असमत्ताइं पि जह सुहावेंति,कज्जाइ मणे ण तहा इअरेहि समाणिआइं पि
Look! A tender shoot has sprouted from the stone of a ripe mango. It looks like an eel hiding in a half-opened oyster shell.	दरफुडिअसिप्पिसंपुडणिलुक्कहालाहलग्गछेप्पणिहं,पिक्कंवट्ठिविणिग्गअकोमलम् अंवंकुरं उअह
Look at that spider climbing down from the rafters Along a thread spun from between its feet: It looks like a mimosa flower strung on an invisible string.	उअह पडलंतरोइण्णणिअअतंतुद्धपाअपडिलग्गं,दुल्लक्खसुत्तगुत्थेक्कवउलकुसुमं व मक्कडअं
If you are not his lover, How come you sleep every day, Your limbs as weak As those of a newborn buffalo calf, Drunk on its mother's milk?	जइ होसि ण तस्स पिआ अणुदिअहं णीसहेहि अंगेहिं,णवसूअपीअपेओसमत्तपाडि व्व किं सुअसि
The winter nights are long, For months your husband's been away, So you must be sleeping well. How odd that you should fall asleep by day.	हेमंतिआसु अइदीहरासु राईसु तं सि अविणिद्दा,चिरअरपउत्थवइए ण सुंदरं जं दिआ सुअसि
If that woman, who stepped on your foot As she leapt away from the mud, Were so indifferent, Why, my dear, is your body now covered With gooseflesh?	जइ चिक्खिल्लभउप्पुअपअम् इणम् अलसाइ तुह पए दिण्णं,ता सुहअ कंडइज्जंतम् अंगम् एण्हिं किणो वहसि
Once the festival starts its glamor is over, Like the full moon in broad daylight, Like sex which in the end loses its savor, Or like gratitude without a steady stream of gifts.	पत्तो छणो ण सोहइ अइप्पहाए व्व पुण्णिमाअंदो,अंतविरसो व्व कामो असंपआणो अ परिओसो
Already at her wedding Paravati's friends knew she would be happy When Siva tossed aside The snake bracelet that frightened her.	पाणिग्गहणे च्चिअ पव्वईअ णाअं सहीहि सोहग्गं,पसुवइणा वासुइकंकणम्मि ओसारिए दूरं
What you see are the heights of the Vindhya Painted black by the forest fires of summer, Not fresh rain clouds. So do not worry about your husband's return.	गिंहे दवग्गिमसिमइलिआइ दीसंति विंझसिहराइं,आससु पउत्थवइए ण होंति णवपाउसब्भाइं
Give as much affection As you can muster. For not everyone can bear to suffer The withdrawal of kindness.	जेत्तिअमेत्तं तीरइ णिव्वोढुं देसु तेत्तिअं पणअं,ण जणो विणिअत्तपसाअदुक्खसहणक्खमो सव्वो
How can a woman Who for five whole days Has been the lover of such an attractive man Ask for one day more? One cannot feast on dainties.	वहुवल्लहस्स जा होइ वल्लहा कह वि पंच दिअहाइं,सा किं छट्ठं मग्गइ कत्तो मिट्ठं च वहुअं च
Whatever part of my body he stares at I cover. At the same time I want him to see it.	जं जं सो णिज्झाअइ अंगोआसं महं अणिमिसच्छो,पच्छाएमि अ तं तं इच्छामि अ तेण दीसंतं
See how the woman's indignation at her husband Escapes with a soft sigh Like sand from a clenched fist.	दढमण्णुदूमिआइ वि गहिओ दइअम्मि पेछह इमीए,ओसरइ वालुआमुट्ठिओ व्व माणो सुरसुरंतो
More than his absence abroad Or my wretchedness here at home What pains me is my husband returning Without quite reaching his goal.	ण वि तह विएसवासो दोग्गच्चं मह जणेइ संतावं,आसंसिअत्थविमुहो जह पणइअणो णिअत्तंतो
I will never forget how she shook her head When I tried to kiss her lips And her tresses flew in all directions. Her face looked like a lotus Surrounded by a swarm of bees Excited by its fragrance.	भरिमो से गहिआहरधुअसीसपहोलिरालआउलिअं,वअणं परिमलतरलिअभमरालिपइण्णकमलं व
When her rivals take a freezing cold bath Before dressing for the festival, The youngest wife shows her privileged position By not bothering.	हल्लफलण्हाणपसाहिआण छणवासरे सवत्तीण,अज्जाइ मज्जणाणाअरेण कहिअं व सोहग्गं
You won't make anyone happy By sitting here Removing with a bamboo needle The traces of turmeric soap From the meshes of your filigree bracelet.	ण्हाणहलिद्दाभरिअंतराइ जालाइ जालवलअस्स,सोहंति किलिंचिअकंटएण कं काहिसि कअत्थं
Love vanishes Through not seeing enough of one another, Through seeing too much of one another, Through spiteful gossip, And sometimes just like that.	अद्दंसणेण पेम्मं अवेइ अइदंसणेण वि अवेइ,पिसुणजणकंपिएण वि अवेइ एमेअ वि अवेइ
Thinking how wretched it is To be sagging over her stomach After having once been prominent —That's how her breasts must have got dark nipples.	पोट्टपडिएहि दुक्खं अच्छिज्जइ उण्णएहि होऊण,इअ चिंतंताण मणे थणाण कसणं मुहं जाअं
Lovely woman, The farmer has become so thin On your account That his good wife, though jealous, Now acts as go-between.	सो तुज्झ कए सुंदरि तह झीणो सुमहिलो हलिअउत्तो,जह से मच्छरिणीअ वि दोच्चं जाआइ पडिवण्णं
Though you visit us only out of courtesy, You rejoice our heart. What delight you must give to those Whom you visit with genuine fondness.	दक्खिण्णेण वि एंतो सुहअ सुहावेसि अंह हिअआइं,णिक्कइअवेण जाणं गओ सि का णिव्वुई ताणं
While he was blowing on the hand That still stung from the slap I gave him, I could not help laughing And put my other hand around his neck.	एक्कं पहरुग्घाअं हत्थं मुहमारुएण वीअंतो,सो वि हसंतीअ मए गहिओ वीएण कंठम्मि
Proud lady, When he approached you You relentlessly turned away, But the gooseflesh on your back Shows that in your heart You are prepared to face him again.	अवलंविअमाणपरंमुहीअ एंतस्स माणिनि पिअस्स,पुट्ठिपुलउग्गमो तुह कहेइ समुहट्ठिअं हिअअं
She knows how to give expression To what remains of the anger he tried to conciliate By acting with reserve Even when they are alone together.	जानइ जाणावेउं अणुणअविद्दविअमाणपरिसेसं,पइरिक्कम्मि वि विणआवलंवणं स च्चिअ कुणंती
How dare you! And which offenses am I supposed to forgive, My darling: Those you have committed, Those you are committing, Or those you are about to commit?	किं दाव कआ अहवा करेसि काहिसि अ सुहअ एत्ताहे,अवराहाण अलज्जिर साहसु कअरा खमिज्जंति
Women only like men Who mask their authority And grovel like slaves At their angry lovers' feet. All the rest make pitiful husbands.	णूमंति जे पहुत्तं कुविअं दास व्व जे पसाअंति,ते च्चिअ महिलाण पिआ सेसा सामि च्चिअ वराआ
Ungrateful bee, Once you would not think Of enjoying yourself with other flowers But now that the jasmine is heavy with fruit You forsake her.	तइआ कअग्घ महुअर ण रमसि अण्णासु पुप्फजाईसु,वद्धफलभारगरुइं मालइम् एण्हिं परिच्चअसि
Aunt, A glimpse of that man, Whom one could never tire of staring at, Is like drinking water in a dream: It has not quenched my thirst.	अविअण्हपेच्छणिज्जेण तक्खणं मामि तेण दिट्ठेण,सिविणअपीएण व पाणिएण तण्ह च्चिअ ण फिट्टा
Though he may for a moment Slip one's mind One still remembers a person. But love, Once it is but a memory, Vanishes For it is something immaterial.	सो णाम संभरिज्जइ पब्भसिओ जो खणं पि हिअआहि,संभरिअव्वं च कअं गअं च पेम्मं णिरालंवं
The poor girl cherishes the teeth marks You have just left on her cheeks Like a pledge, Protecting them with a fence of gooseflesh.	णासं व सा कवोलेअज्ज वितुह दंतमंडलं वाला,उब्भिण्णपुलअवइवेढपरिगअं रक्खइ वराई
The mango puts out new shoots, The fragrance of liquor fills the air, An agreeable breeze is blowing from the south, But business must mean more to him And clearly he loves me no longer.	दिट्ठा चूआ अग्घाइआ सुरा दक्खिणाणिलो सहिओ,कज्जाइं चिअ गरुआइ मामि को वल्लहो कस्स
After making love, He took a step, then turned And took me in his arms again. That moment I felt what it was to be a wife whose husband is abroad And he what it was to be that woman's husband.	रमिऊण पअं पि गओ जाहे उवऊहिउं पडिणिउत्तो,अहअं पउत्थवइअ व्व तक्खणं सो पवासि व्व
A man so handsome One cannot tire of looking at him, Who shares one's troubles as well as one's joys, Proves faithful and returns one's love —Such a man is only to be got through merit Accumulated over many lives.	अविअण्हपेच्छणिज्जं समसुहदुक्खं विइण्णसब्भावं,अण्णोण्णहिअअलग्गं पुण्णेहि जणो जणं लहइ
If one loves a man He gives pleasure even while causing pain. Though wounded by a lover's nails Breasts thrill with gooseflesh.	दुक्खं देंतो वि सुहं जणेइ जो जस्स वल्लहो होइ,दइअणहदूमिआण वि वड्ढइ थणआण रोमंचो
Try though she would to keep it, The advice given by her friends Escaped from her heart That was shattered by the arrow of the God of Love.	धरिओ धरिओ विअलइ उवएसो पिअसहीहि दिज्जंतो,मअरद्धअवाणपहारजज्जरे तीअ हिअअम्मि
O sweetwood tree, Whose branches, bowed by the weight of blossom, Reach to the ground In the broad thickets on the bank of the Goda, Do me a favor And shed your leaves slowly.	वहुपुप्फभरोणामिअभूमीगअसाह सुणसु विण्णत्तिं,गोलाअडविअडकुडंग महुअ सणिअं गलिज्जासु
Weeping, The woman gathers the very last sweetwood flowers Now painful to behold, Like the bones of a relative On the funeral pyre.	णिप्पच्छिमाइ असई दुक्खालोआइ महुअपुप्फाइं,चीए वंधुस्स व अट्ठिआइ रुअरी समुच्चिणइ
Heart, After getting stuck here and there, Like a log Borne along by the current of a shallow stream, One day you will be fuel for someone.	ओ हिअअ मडहसरिआजलरअहीरंतदीहदारु व्व,ठाणे ठाणे च्चिअ लग्गमाण केणा ऽवि डज्झिहिसि
The red That during the night her husband Removed from her lips Appears the next morning In her co-wives' sleepless eyes.	जो तीअ अहरराओ रत्तिं उव्वासिओ पिअअमेण,सो च्चिअ दीसइ गोसे सवत्तिणअणेसु संकंतो
When the poor plowman's daughter Saw her courteous husband standing on the river bank She clambered up By the most difficult route.	गोलाअडट्ठिअं पेच्छिऊण गहवइसुअं हलिअसोण्हा,आढत्ता उत्तरिउं दुक्खुत्ताराइ पअवीए
I will never forget, Once when he lay in silence at my feet, What pleasure I got from twisting his hair round my toe And pulling hard.	चलणोआसणिसण्णस्स तस्स भरिमो अणालवंतस्स,पाअंगुट्ठावेढिअकेसदढाअड्ढणसुहेल्लिं
See how the winter traveler At the gate of the village temple Jabs at the smoldering heap of husks As if it were a bear.	फालेइ अच्छभल्लं व उअह कुग्गामदेउलद्दारे,हेमंतआलपहिओ विज्झाअंतं पलालग्गिं
Aunt, Not a lotus is damaged, Not a goose has been scared away, But someone has pushed a cloud on its back In the village pond.	कमलाअरा ण मलिआ हंसा उड्डाविआ ण अ पिउच्छा,केण वि गामतडाए अब्भं उत्ताणिअं छूढं
How frustrated he must feel To threaten to leave again. It makes his young wife languish As though she'd been given a drug.	केण मणे भग्गमणोरहेण संलाविअं पवासो त्ति,सविसाइ व अलसाअंति जेण वहुआइ अंगाइं
"As his mother Yasoda says: ""Krsna a is still a child,"" The women of Vraja smile to themselves, Their eyes fixed on his face."	अज्ज वि वालो दामोअरो त्ति इअ जंपिए जसोआए,कण्हमुहपेसिअच्छं णिहुअं हसिअं वअवहूहिं
Placing herself next to Rasha On the pretext of praising the way she dances, The cunning cowgirl manages to kiss Krsna, Who is reflected in his favorite's cheek.	णच्चणसलाहणणिहेण पासपरिसंठिआ णिउणगोवी,सरिगोविआण चुंवइ कवोलपडिमागअं कण्हं
On the heights of the Vindhya The Pulindas kneel behind their bows The moment they see the valleys below Filling with rain clouds As if with a herd of elephants.	आलोअंति पुलिंदा पव्वअसिहरट्ठिआ धणुणिसण्णा,हत्थिउलेहि व विंझं पूरिज्जंतं णवब्भेहिं
The Vindhya Range with white clouds Clinging to its body blackened by forest fires Looks like Visnu splashed While churning the Ocean of Milk.	वणदवमसिमइलंगो रेहइ विंझो घणेहि धवलेहिं,खीरोअमंथणुच्छलिअदुद्धसित्तो व्व महुमहणो
Though distressed by the death of her relatives The hostage made eyes at her kidnapper Who was a handsome youth. For who begrudges anyone His good points?	वंदीअ णिहअवंधवविमणाइ वि पक्कलो त्ति चोरजुवा,अणुराएण पुलइओ गुणेसु को मच्छरं वहइ
For how many days Has the hunter's young and beautiful wife Proudly scattered her happiness all over the streets In the guise of shavings from her husband's bow?	अज्ज कइमो वि दिअहो वाहवहू रूवजोव्वणुम्मत्ता,सोहग्गं धणुरुंपच्छलेण रच्छासु विक्किरइ
See how the wood shavings Swirl above the hunter's homestead, Like a banner Announcing the joys of marriage.	उक्खिप्पइ मंडलिमारुएण गेहंगणाहि वाहीए,सोहग्गधअवडाअ व्व उवह धणुरुंपरिंछोली
Though completely exhausted by making love to his young wife, He did not wish to hurt the feelings of his elder wife. So the hunter took his bow with him into the forest Even though he could not bend it Without first shaving it thinner.	णववहुपेम्मतनुइओ पणअं पढमघरिणीअ रक्खंतो,अलिहिअदुप्परिअल्लं पि णेइ रण्णं धणुं वाहो
In this world, Mother, Love without deceit does not exist, For who would separate Or who, being separated, Would survive?	कइअवरहिअं पेम्मं ण त्थि च्चिअ मामि माणुसे लोए,अह होइ कस्स विरहो विरहे होंतम्मि को जिअइ
It was like a miracle, Like finding treasure, Like being king in heaven, Like a draught of nectar, That one moment When I saw her undressed.	अच्छेरं व णिहिं मिव सग्गे रज्जं व अमअपाणं व,आसि म्ह तं मुहुत्तं विणिअंसणदंसणं तिस्सा
You love her, I love you, She hates you, And you hate me. I speak plainly Since love is full of complications.	सा तुज्झ वल्लहा तं सि मज्झ वेसो सि तीअ तुज्झ अहं,वालअ फुडं भणामो पेम्मं किर वहुविआरं ति
I am shy And he is ready for anything, But my friends will help me out, So why should I paint my feet?	अहअं लज्जालुइणी तस्स अ उम्मच्छराइ पेम्माइं,सहिआअणो वि णिउणो अलाहि किं पाअराएण
The spring wind stirs the forest, Loud with the drone of bees, And the cowgirl's song About parted lovers Troubles the lonely traveler.	महुमासमारुआहअमहुअरझंकारणिब्भरे रण्णे,गाइ विरहख्हरावद्धपहिअमणमोहणं गोवी
The sun is already shining When the good wife Takes hold of her husband's feet And gives them a shake. Since she is smiling A smile appears on his grumpy face.	सालोअ च्चिअ सूरे घरिणी घरसामिअस्स घेत्तूण,णेच्छंतस्स वि पाए धुअइ हसंती हसंतस्स
His image is in my eyes, His touch on my limbs, His words in my ear And his heart in my heart. To separate us needs more than just fate.	रूअं अच्छीसु ठिअं फरिसो अंगेसु जंपिअं कण्णे,हिअअं हिअए णिहिअं विओइअं किं थ देव्वेण
Eyes shut, She imagines her husband on the bed And embraces herself While the bracelets fall loose Upon her thin arms.	सअणे चिंतामइअं काऊण पिअं णिमीलिअच्छीए,अप्पाणो उवऊढो पसिढिलवलआहि वाहाहिं
This wretched body is the ruin of me: In daily humiliation It totters from door to door On other people's business Yet refuses to die.	परिभूएण वि दिअहं घरघरभमिरेण अण्णकज्जम्मि,चिरजीविएण इमिणा खविअ म्हो डड्ढकाएण
However abundant, A miser's wealth is useless, Like the traveler's shadow When he is scorched by the summer heat.	होंती वि णिप्फल च्चिअ धणरिद्धी होइ किविणपुरिसस्स,गिम्हाअवसंतत्तस्स णिअअछाहि व्व पहिअस्स
O my left eye, If my husband comes home today Thanks to your quivering, I will reward you with a good long look at him While keeping my right eye tightly shut.	फुरिए वामच्छि तए जइ एहिइ सो पिओ ज्ज ता सुइरं,सम्मीलिअ दाहिणअं तुइ अविअण्हं पुलोइस्सं
That the bee wants to drink the nectar Of one flower after another Is the fault of the flowers running out of nectar, Not the bee's.	अण्णण्णं कुसुमरसं जं किर सो महइ महुअरो पाउं,तं णीरसाण दोसो कुसुमाणं णेअ भमरस्स
Leaning on the door Looking out for you She decorates the house for your return: Her breasts two vases of plenty And her eyes lotus petals strewn on the street.	रच्छापइण्णणअणुप्पला तुमं सा पडिच्छए एंतं,दारणिहिएहि दोहि वि मंगलकलसेहि व थणेहिं
She wept as long as she had tears to weep, She grew as thin as her body would allow, And, poor thing, Sighed as long as she had breath to sigh.	ता रुण्णं जा रुव्वइ ता झीणं जाव झिज्जए अंगं,ता णीससिअ वराईअ जाव सासा पहुप्पंति
Of a couple, Who after a long life of shared joys and sorrows Have learned the meaning of love, The one who dies survives, The other is as good as dead.	समसोक्खदुक्खपरिवड्ढिआण कालेण रूढपेम्माण,मिहुणाण मरइ जं तं खु जिअइ इअरं मुअं होइ
Foolish girl, do not cry. A fresh mango shoot with its new blossom Placed on the mouth of the farewell bowl Will surely stop your lover departing.	हरिहिइ पिअस्स णवचूअपल्लवो पढममंजरिसणाहो,मा रुअसु पुत्ति पत्थाणकलसमुहसंठिओ गमणं
That jealous anger which my friends, Having found a slit, Managed to lodge in my heart, Sneaked away like a lover At the sight of my husband.	जो कह वि मह सहीहिं छिद्दं लहिऊण पेसिओ हिअए,सो माणो चोरिअकामुओ व्व दिट्ठे पिए णट्ठो
